Symbol	E3.5_WT_male_XK144	E3.5_WT_male_XK145	E3.5_WT_male_XK146	E3.5_WT_male_XK149	E3.5_WT_male_XK49	E3.5_WT_male_XK53	E3.5_WT_male_XK55	E3.5_WT_male_XK56	E3.5_Xist_female_XK147	E3.5_Xist_female_XK148	E3.5_Xist_female_XK50	E3.5_Xist_female_XK51	E3.5_Xist_female_XK52	E3.5_Xist_female_XK54
1810064F22Rik	1.836688183	21.76191779	2.883869181	5.390443569	1.844637488	3.716132598	1.677864661	3.270410205	1.920767778	1.576192326	2.287370807	1.892316419	3.957623268	1.384869883
2010002M12Rik	0.104706691	1.48873506	0.958245269	0.887757494	1.892877636	0.847403392	0.918263168	2.632107086	0.516213985	0.847215922	0.962949383	0.161816954	4.254508019	0.270683122
2010005H15Rik	0	15.32655347	7.543939607	3.046492974	1.608467991	0.675073961	0.73152357	0.838734881	3.588967065	0.490854266	2.301366957	4.125106437	9.859793033	0.862546123
2010010A06Rik	0	0	2.205537161	6.489160164	1.058062001	2.368365792	2.566408273	1.47126916	3.410114886	8.825592316	7.064661356	3.165779358	2.702434968	2.269556575
2010012O05Rik	20.56384562	94.21322573	31.81608983	54.70246942	19.31935635	21.13080775	15.26517568	16.48484071	25.54500088	40.85278997	26.05959642	54.30126322	47.8489956	65.92769813
2010107E04Rik	1593.726205	3920.046486	2513.59934	3587.912605	987.7139224	1199.197686	892.0659375	900.2635527	2772.806456	2194.788282	1338.298479	2604.716522	3428.452636	2081.226905
2010107G23Rik	0	0	5.369227958	23.49699161	12.75623835	5.559707912	8.255947122	6.651734516	6.568369534	11.37897168	11.58261637	9.122419087	6.014986391	8.419167701
2010109I03Rik	2.240623315	18.17511799	7.840351497	5.84528109	14.85211779	26.06708486	27.63275044	15.01988824	4.016904315	1.922837697	5.151549563	10.09962466	22.41574569	7.723147477
2010111I01Rik	6.727457137	5.271291117	2.432439103	7.203530184	4.477490834	1.828413488	1.981305218	1.893069324	3.240195971	1.255602135	6.579456629	0.620705671	1.112703916	0.908512531
2010300C02Rik	2.342995293	0	6.437073374	19.44358499	3.894845674	2.942399876	1.682789373	2.132513726	0.941476341	5.586351508	1.764680372	5.743555672	1.044536662	0
2010315B03Rik	1.532459658	5.726526683	7.218557652	2.74851621	4.771185951	7.49310076	7.419701192	8.507124651	8.013061661	1.596922034	2.128701875	3.157747298	7.075893514	5.612333453
2010320M18Rik	16.07985578	31.55242148	10.18395682	39.48114691	6.839767243	6.698183521	4.147591356	3.566593427	8.478633604	8.001253967	8.970697507	12.42515281	9.608335225	7.94700213
2200002D01Rik	43.08670022	73.72637949	85.67228569	272.8504003	59.46572786	75.92784533	51.80398869	41.9268182	73.19510741	94.05813342	73.897937	73.03147017	59.04207426	58.38773754
2210013O21Rik	0	0	17.50516293	54.76366008	21.3309914	11.65922132	7.219522338	8.794958285	7.748143851	16.04680581	12.30263457	33.71407083	3.801088436	4.788340158
2210015D19Rik	16.85094861	23.24685936	19.79229869	15.98557307	9.000427411	6.586373781	5.457801941	6.257691547	3.518748144	12.53599112	12.65751826	0.591863097	12.02466063	0.990052941
2210016F16Rik	64.92408522	32.09001982	54.57727534	140.7907256	45.44292558	57.84871923	46.39860626	37.3489653	50.25062604	43.99111768	91.14130797	48.23831056	49.57847737	58.90499248
2210016L21Rik	40.57225643	41.7466123	24.14060674	155.4581843	25.09210066	49.95547315	28.67572395	26.16852829	14.23623603	40.44639151	76.40538297	16.50042575	38.45319283	14.49077486
2210018M11Rik	22.82209373	3.744090789	2.976980652	0	4.125756462	4.61754626	4.522543328	6.398957897	0	1.420469146	3.027209151	1.627844693	4.701455871	0.907671854
2210404O09Rik	0.158639359	1.041026594	11.78537372	2.069271615	2.485484982	4.333117692	4.34764121	8.972688327	7.252266632	6.301322301	5.288688405	13.23897284	0.585994003	1.435376168
2210408I21Rik	0	0	2.96369056	0.938428639	0.075396937	0.886034574	0.342901674	0.707682556	0	0	0.28767087	1.450232732	3.00415569	2.021592475
2210409E12Rik	1441.127908	1788.775471	2455.728148	2398.498492	797.4588041	1529.756991	933.3386988	1447.198104	1526.786573	1291.043067	1397.228859	587.8440801	621.4023408	799.7106673
2300009A05Rik	0	0	6.026501205	56.10321317	17.04222942	26.22628474	13.56376814	16.29221468	16.90055394	4.767360496	25.0610395	37.33290307	16.32306873	19.80105882
2310003H01Rik	10.09850693	0	10.27537187	0.868507513	2.541126124	5.950006217	6.447545067	3.347542807	7.609740562	1.550944881	2.423864915	0.686001952	5.738865362	3.012255562
